,marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,tech_event,5g_phase,store_traffic,public_transport,city,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue
2019-12-25,81.12,19.57,68.75,89.4,Bad,None,Pre-5G,0.14,Hub,Marseille,62900.44,25151.34,16376.47
2019-12-26,81.26,19.97,68.76,89.48,Bad,None,,-0.55,Limited,Marseille,69030.34,30953.96,20300.2
2019-12-27,81.41,20.38,68.76,89.57,Moderate,None,Pre-5G,-0.46,Good,Marseille,65552.07,34726.02,18302.43
2019-12-28,81.55,20.81,68.76,89.66,Bad,None,Pre-5G,0.39,Good,Marseille,64915.89,41847.42,21686.25
2019-12-29,81.69,21.25,68.76,89.74,Moderate,None,Pre-5G,0.87,Hub,Marseille,76798.88,35192.74,
2019-12-30,81.84,21.71,68.76,89.83,Bad,None,Pre-5G,0.46,Hub,Marseille,53397.94,26326.1,17318.57
2019-12-31,,22.17,68.77,89.91,Bad,None,Pre-5G,-0.06,Hub,Marseille,61790.13,27647.55,14578.1
2020-01-01,82.13,22.63,68.77,90.0,Moderate,None,Pre-5G,0.74,Hub,Marseille,68141.6,31408.56,18766.87
2020-01-02,82.27,23.1,68.77,90.09,Moderate,None,Pre-5G,0.14,Hub,Marseille,60075.98,31812.08,16524.63
2020-01-03,82.42,23.57,68.77,90.17,Moderate,None,Pre-5G,0.76,Limited,Marseille,68346.16,34556.56,17454.9
2020-01-04,82.56,24.04,68.77,90.26,Bad,None,Pre-5G,-0.65,Hub,Marseille,83533.1,40192.57,23097.74
2020-01-05,82.7,24.5,68.78,90.34,Moderate,None,Pre-5G,-0.1,Hub,Marseille,68031.77,40696.45,22331.44
2020-01-06,82.85,24.96,68.78,90.43,Moderate,None,Pre-5G,0.09,Poor,Marseille,66919.96,26529.73,20166.88
2020-01-07,82.99,25.41,68.78,90.52,Moderate,None,Pre-5G,0.26,Hub,Marseille,79329.66,34286.2,17881.4
2020-01-08,83.14,25.85,68.78,90.6,Moderate,,Pre-5G,0.18,Poor,Marseille,74613.82,30141.14,21848.41
2020-01-09,83.28,26.28,68.79,90.69,Moderate,None,Pre-5G,0.13,Limited,Marseille,59527.69,39720.97,20106.61
2020-01-10,83.43,26.7,68.79,90.77,Bad,None,Pre-5G,0.18,Hub,Marseille,63501.32,31420.44,19389.23
2020-01-11,83.57,27.09,68.79,90.86,Moderate,None,Pre-5G,-0.09,Hub,Marseille,83593.81,43466.57,20689.97
2020-01-12,83.71,27.47,68.79,90.94,Moderate,None,Pre-5G,0.05,Hub,Marseille,95777.97,30998.01,19346.7
2020-01-13,83.86,27.83,68.79,91.03,Moderate,None,Pre-5G,1.15,Hub,Marseille,59964.41,32333.42,18234.21
2020-01-14,84.0,28.17,68.8,91.11,Bad,None,Pre-5G,-0.15,Limited,Marseille,66850.81,29754.73,16914.41
2020-01-15,84.14,28.49,68.8,91.19,Moderate,None,Pre-5G,-0.26,Hub,Marseille,53824.25,34176.17,22485.76
2020-01-16,84.28,28.77,68.8,91.28,Bad,None,Pre-5G,0.85,Hub,Marseille,75918.12,29235.41,
2020-01-17,84.43,29.04,68.8,91.36,Bad,None,Pre-5G,0.14,Hub,Marseille,66471.01,40461.47,20315.09
2020-01-18,84.57,29.27,68.81,91.44,Bad,None,Pre-5G,0.52,Hub,Marseille,77078.77,43647.19,26594.69
2020-01-19,84.71,29.48,68.81,91.52,Bad,None,Pre-5G,0.19,Hub,Marseille,85630.61,36784.3,24394.02
2020-01-20,84.85,29.65,68.81,91.61,Moderate,Tech Show,Pre-5G,-0.07,Hub,Marseille,91249.68,40001.04,18428.85
2020-01-21,84.99,29.8,68.81,91.69,Moderate,None,Pre-5G,0.64,Hub,Marseille,79105.13,27523.62,16115.65
2020-01-22,85.12,29.91,68.81,91.77,Moderate,None,Pre-5G,-0.26,Good,Marseille,73981.39,42069.68,20796.64
2020-01-23,85.26,29.99,68.82,91.85,Moderate,None,,0.86,Good,Marseille,60357.82,33298.27,21983.92
2020-01-24,,30.04,68.82,91.93,Moderate,None,Pre-5G,0.29,Poor,Marseille,78900.19,41629.11,19269.3
2020-01-25,85.54,30.06,68.82,92.01,Moderate,None,Pre-5G,0.1,Good,Marseille,88351.92,38733.11,25867.52
2020-01-26,85.67,30.04,68.82,92.09,Bad,None,Pre-5G,0.65,Good,Marseille,95223.62,42412.28,
2020-01-27,85.81,29.99,68.83,92.16,Bad,None,Pre-5G,-0.47,Good,Marseille,52242.71,30761.77,17996.47
2020-01-28,85.94,29.91,68.83,92.24,Moderate,None,Pre-5G,0.51,Limited,Marseille,59981.9,36386.01,20789.63
2020-01-29,86.07,29.8,68.83,92.32,Moderate,None,Pre-5G,-0.1,Good,Marseille,73129.27,37138.11,22998.06
2020-01-30,86.2,29.65,68.83,92.39,Bad,None,Pre-5G,0.41,Hub,Marseille,72942.28,38465.61,
2020-01-31,86.33,29.48,68.83,92.47,Moderate,None,Pre-5G,1.11,Hub,Marseille,72625.29,47058.07,24746.59
2020-02-01,86.46,29.27,68.84,92.54,Moderate,None,Pre-5G,1.06,Limited,Marseille,84126.46,39121.71,
2020-02-02,86.59,29.04,68.84,92.62,Bad,None,Pre-5G,0.53,Hub,Marseille,85791.38,40685.52,26625.02
2020-02-03,86.72,28.77,68.84,92.69,Moderate,None,Pre-5G,1.1,Poor,Marseille,66092.66,40015.94,
2020-02-04,86.84,28.49,68.84,92.76,Bad,None,Pre-5G,-0.36,Good,Marseille,64545.1,32375.46,18086.49
2020-02-05,86.97,28.17,68.85,92.83,Moderate,None,Pre-5G,0.57,Poor,Marseille,93202.19,41539.6,23847.17
2020-02-06,87.09,27.83,68.85,92.9,Moderate,None,Pre-5G,1.18,Poor,Marseille,81863.38,38967.09,19092.0
2020-02-07,87.22,27.47,68.85,92.97,Moderate,None,Pre-5G,-0.38,Good,Marseille,83687.44,48044.36,20914.5
2020-02-08,87.34,27.09,68.85,93.04,Moderate,None,Pre-5G,1.01,Hub,Marseille,84995.08,42786.95,28200.49
2020-02-09,87.46,26.7,68.85,93.11,Moderate,None,Pre-5G,1.32,Hub,Marseille,79024.7,51707.96,22013.31
2020-02-10,87.57,26.28,68.86,93.18,Bad,None,Pre-5G,0.17,Hub,Marseille,65478.81,36719.41,18845.76
2020-02-11,87.69,25.85,68.86,,Moderate,None,Pre-5G,-0.18,Limited,Marseille,68493.86,36565.4,23815.78
2020-02-12,87.81,25.41,68.86,93.31,Moderate,None,Pre-5G,0.57,Hub,Marseille,84745.81,41401.66,24424.41
2020-02-13,87.92,24.96,68.86,93.37,Moderate,None,Pre-5G,1.03,Hub,Marseille,93777.47,43565.77,24088.08
2020-02-14,88.03,24.5,68.86,93.44,Moderate,,Pre-5G,0.74,Hub,Marseille,72114.4,42939.7,26038.24
2020-02-15,88.14,24.04,68.87,93.5,Bad,None,Pre-5G,1.58,Hub,Marseille,93493.37,48129.23,23871.26
2020-02-16,88.25,23.57,68.87,93.56,Moderate,None,,-0.22,Hub,Marseille,92695.82,53795.83,26838.69
2020-02-17,88.36,23.1,68.87,93.62,Moderate,None,Pre-5G,-0.25,Good,Marseille,64348.65,35944.76,14834.78
2020-02-18,88.47,22.63,68.87,93.68,Bad,,Pre-5G,-0.83,Poor,Marseille,67337.07,33905.55,19998.46
2020-02-19,88.57,22.17,68.88,93.73,Moderate,None,Pre-5G,0.41,Limited,Marseille,83389.6,40171.26,16642.54
2020-02-20,88.68,21.71,68.88,93.79,Moderate,None,Pre-5G,0.21,Poor,Marseille,68640.85,44652.27,15666.2
2020-02-21,88.78,21.25,68.88,93.85,Moderate,None,Pre-5G,-0.34,Hub,Marseille,89460.27,38364.66,22635.5
2020-02-22,88.88,20.81,68.88,93.9,Bad,None,Pre-5G,0.9,Hub,Marseille,108790.11,53929.62,24793.67
2020-02-23,88.97,20.38,68.88,93.95,Moderate,None,Pre-5G,0.4,Limited,Marseille,92366.01,40814.94,27251.67
2020-02-24,89.07,19.97,68.89,94.01,Moderate,None,Pre-5G,0.82,Hub,Marseille,74063.84,46091.88,25680.31
2020-02-25,89.16,19.57,68.89,94.06,Bad,,Pre-5G,0.27,Hub,Marseille,72408.96,37169.17,23136.08
2020-02-26,89.26,19.19,68.89,94.11,Bad,None,Pre-5G,-0.71,Hub,Marseille,70675.58,41615.57,23594.88
2020-02-27,89.35,18.83,68.89,94.16,Moderate,None,Pre-5G,1.57,Limited,Marseille,88857.85,41543.3,23524.19
2020-02-28,89.43,18.5,68.9,94.2,Moderate,None,Pre-5G,-0.43,Hub,Marseille,81842.05,41752.98,22265.47
2020-02-29,89.52,18.18,68.9,94.25,Bad,None,Pre-5G,0.14,Hub,Marseille,95459.82,52167.99,17957.87
2020-03-01,89.61,17.89,68.75,94.29,Moderate,None,Pre-5G,-1.49,Hub,Marseille,70498.35,34179.99,13840.82
2020-03-02,,17.63,68.6,94.34,Moderate,None,,-0.23,Good,Marseille,48074.79,28466.1,8816.33
2020-03-03,89.77,17.39,68.45,94.38,Good,None,Pre-5G,0.0,Hub,Marseille,46067.42,25983.58,6012.08
2020-03-04,89.85,17.19,68.31,94.42,Moderate,None,Pre-5G,0.87,Hub,Marseille,58515.39,26508.95,10378.08
2020-03-05,89.92,17.01,68.16,94.46,Moderate,None,Pre-5G,0.49,Hub,Marseille,63272.49,32276.49,17700.54
2020-03-06,90.0,16.87,68.01,94.5,Moderate,None,Pre-5G,,Good,Marseille,69179.89,31584.48,18017.18
2020-03-07,90.07,16.75,67.86,94.54,Good,None,Pre-5G,0.69,Hub,Marseille,62556.61,30935.62,23188.76
2020-03-08,90.14,16.67,67.72,94.57,Moderate,None,Pre-5G,-0.75,Limited,Marseille,59381.86,35134.14,16319.33
2020-03-09,90.21,16.62,67.57,94.6,Moderate,None,Pre-5G,0.09,Good,Marseille,57535.61,28288.17,15918.25
2020-03-10,90.28,16.61,67.42,94.64,Moderate,None,Pre-5G,-0.32,Hub,Marseille,53525.91,24254.45,12390.73
2020-03-11,90.34,16.62,67.27,94.67,Moderate,None,Pre-5G,0.66,Hub,Marseille,58113.12,32311.71,16195.25
2020-03-12,90.4,16.67,67.12,94.7,Moderate,None,Pre-5G,0.09,Poor,Marseille,57060.45,22715.78,16659.33
2020-03-13,90.46,16.75,66.98,94.73,Moderate,None,Pre-5G,,Hub,Marseille,64598.89,29431.46,18611.86
2020-03-14,90.52,16.87,66.83,94.76,Moderate,None,Pre-5G,0.65,Hub,Marseille,68883.82,,
2020-03-15,90.57,17.01,66.68,94.78,Moderate,None,Pre-5G,-0.6,Hub,Marseille,,34244.93,17989.14
2020-03-16,90.63,17.19,66.53,94.81,Good,None,Pre-5G,0.95,Hub,Marseille,57290.9,26468.45,18131.53
2020-03-17,86.78,17.39,66.38,94.83,Moderate,None,Pre-5G,0.97,Hub,Marseille,16788.12,14839.45,9511.86
2020-03-18,82.94,17.63,66.24,94.85,Good,None,Pre-5G,-0.16,Poor,Marseille,20585.31,17913.62,12552.23
2020-03-19,79.09,17.89,66.09,94.87,,None,Pre-5G,0.09,Hub,Marseille,22846.67,20527.54,12169.63
2020-03-20,75.24,18.18,65.94,94.89,Moderate,None,Pre-5G,-0.06,Hub,Marseille,21698.34,18582.88,10661.48
2020-03-21,71.38,18.5,65.79,94.91,Good,None,Pre-5G,1.01,Hub,Marseille,37245.39,28244.27,
2020-03-22,67.52,18.83,65.65,94.92,Good,None,Pre-5G,0.54,Hub,Marseille,38103.9,24105.8,12827.17
2020-03-23,63.65,,65.5,94.94,Good,None,Pre-5G,0.05,Hub,Marseille,16214.82,17059.07,10970.7
2020-03-24,63.68,19.57,65.35,94.95,Moderate,None,Pre-5G,-0.48,Hub,Marseille,12812.79,11551.93,8145.92
2020-03-25,63.7,19.97,,94.96,Good,None,Pre-5G,-0.04,Hub,Marseille,21905.37,20036.59,11243.93
2020-03-26,63.72,20.38,65.05,94.97,Moderate,None,Pre-5G,-0.19,Hub,Marseille,16919.53,16910.14,10733.27
2020-03-27,63.74,20.81,64.91,94.98,Good,None,Pre-5G,0.38,Poor,Marseille,22017.68,18740.71,11498.91
2020-03-28,,21.25,64.76,94.99,Good,None,Pre-5G,0.04,Good,Marseille,,20682.99,14729.34
2020-03-29,63.77,21.71,64.61,94.99,Good,None,Pre-5G,0.42,Hub,Marseille,,20422.19,13455.29
2020-03-30,63.79,22.17,64.46,95.0,Good,None,Pre-5G,-0.32,Hub,Marseille,11442.66,12802.28,8029.39
2020-03-31,63.8,22.63,64.47,95.0,Good,None,Pre-5G,-0.04,Hub,Marseille,13502.09,13380.12,9259.7
2020-04-01,63.81,23.1,64.47,95.0,Good,None,Pre-5G,0.22,Limited,Marseille,23518.89,17107.31,11330.13
2020-04-02,63.82,23.57,64.47,95.0,Moderate,None,Pre-5G,0.5,Limited,Marseille,17858.71,14158.24,9836.76
2020-04-03,63.83,24.04,64.47,95.0,Moderate,,Pre-5G,0.6,Hub,Marseille,18410.37,16197.95,10251.77
2020-04-04,63.84,24.5,64.47,94.99,Moderate,None,Pre-5G,1.24,Good,Marseille,34963.61,,14640.99
2020-04-05,63.84,24.96,64.48,94.99,Good,None,,0.51,Limited,Marseille,32275.34,20071.03,14219.77
2020-04-06,63.84,25.41,64.48,94.98,Moderate,None,Pre-5G,0.29,Hub,Marseille,14269.05,14274.5,9004.04
2020-04-07,63.84,25.85,64.48,94.98,Good,None,Pre-5G,-0.26,Hub,Marseille,12176.76,16104.23,10140.99
2020-04-08,63.84,26.28,64.48,,Moderate,None,Pre-5G,-0.19,Poor,Marseille,18628.63,14508.15,11721.39
2020-04-09,63.84,26.7,64.49,94.96,Good,None,Pre-5G,0.58,Good,Marseille,17910.56,17041.48,11828.1
2020-04-10,63.84,27.09,64.49,94.94,Moderate,None,Pre-5G,0.18,Good,Marseille,20075.44,19196.49,10847.03
2020-04-11,63.83,27.47,64.49,94.93,Moderate,None,Pre-5G,0.37,Hub,Marseille,,,12592.44
2020-04-12,63.83,27.83,64.49,94.91,Good,None,Pre-5G,0.59,Good,Marseille,33433.52,24332.44,15647.86
2020-04-13,63.82,28.17,64.49,94.9,Good,None,Pre-5G,-0.0,Hub,Marseille,12003.63,13967.05,8040.47
2020-04-14,63.81,28.49,64.5,94.88,Good,None,Pre-5G,-0.51,Hub,Marseille,12479.53,12818.82,9501.03
2020-04-15,63.79,28.77,64.5,94.86,Moderate,None,Pre-5G,-0.32,Limited,Marseille,16720.97,13484.58,10642.97
2020-04-16,63.78,29.04,64.5,94.84,Good,None,Pre-5G,0.34,Good,Marseille,19510.84,16213.56,10385.82
2020-04-17,63.77,29.27,64.5,94.82,Good,None,Pre-5G,0.79,Hub,Marseille,33930.23,15660.55,9229.18
2020-04-18,63.75,29.48,64.51,94.79,Moderate,None,Pre-5G,-0.47,Limited,Marseille,47211.96,17702.82,14863.84
2020-04-19,63.73,29.65,64.51,94.77,Good,None,Pre-5G,-0.29,Poor,Marseille,46072.66,18198.21,11823.03
2020-04-20,63.71,29.8,64.51,94.74,Moderate,None,Pre-5G,1.22,Hub,Marseille,9518.64,12008.09,8173.94
2020-04-21,63.69,29.91,64.51,94.71,Good,None,Pre-5G,0.08,Hub,Marseille,11003.33,11864.2,9027.95
2020-04-22,63.66,29.99,64.51,94.68,Good,None,Pre-5G,-0.03,Poor,Marseille,18607.07,16672.78,10665.32
2020-04-23,63.64,30.04,64.52,94.65,Moderate,None,Pre-5G,-0.58,Good,Marseille,14131.93,14841.33,11013.67
2020-04-24,63.61,30.06,64.52,94.62,Good,None,Pre-5G,-0.07,Good,Marseille,21471.69,13969.37,10440.66
2020-04-25,63.59,30.04,64.52,94.59,Moderate,None,Pre-5G,-0.83,Limited,Marseille,31323.41,20174.2,11957.45
2020-04-26,63.56,29.99,64.52,94.55,Moderate,None,Pre-5G,-0.46,Limited,Marseille,26814.17,21985.32,11780.36
2020-04-27,63.52,29.91,64.52,94.52,Good,None,Pre-5G,-0.09,Poor,Marseille,10654.03,11206.39,10256.89
2020-04-28,63.49,29.8,64.53,94.48,Good,None,Pre-5G,-0.52,Hub,Marseille,9342.38,11638.54,10380.47
2020-04-29,63.46,29.65,64.53,94.44,Good,None,Pre-5G,-0.81,Hub,Marseille,15341.19,14336.24,
2020-04-30,63.42,29.48,64.53,94.4,Good,None,Pre-5G,-0.2,Hub,Marseille,15446.91,16146.69,12122.86
2020-05-01,63.39,29.27,64.53,94.36,Moderate,None,Early-5G,0.52,Good,Marseille,20693.97,15743.2,11090.68
2020-05-02,63.35,29.04,64.54,94.32,Good,None,Early-5G,0.19,Poor,Marseille,29831.56,21008.01,
2020-05-03,63.31,28.77,64.54,94.27,Good,None,Early-5G,-0.22,Limited,Marseille,34576.07,24867.84,13969.33
2020-05-04,63.26,28.49,64.54,94.23,Good,None,Early-5G,-0.25,Hub,Marseille,15298.54,13645.17,8712.08
2020-05-05,63.22,28.17,64.54,94.18,Good,None,Early-5G,-1.11,Hub,Marseille,16788.59,13190.85,8975.51
2020-05-06,63.18,27.83,64.54,94.13,Good,None,Early-5G,0.64,Hub,Marseille,21751.87,,12152.47
2020-05-07,63.13,27.47,64.55,94.08,Good,None,Early-5G,-0.18,Hub,Marseille,19591.34,,12563.56
2020-05-08,63.08,27.09,64.55,94.03,Good,None,Early-5G,0.88,Good,Marseille,26354.55,,9048.1
2020-05-09,63.04,26.7,64.55,93.98,Moderate,None,Early-5G,0.61,Good,Marseille,24499.73,,14442.28
2020-05-10,62.99,26.28,64.55,93.93,Good,None,Early-5G,0.73,Hub,Marseille,25306.99,19716.5,14635.65
2020-05-11,62.93,25.85,64.56,93.87,Moderate,None,Early-5G,1.4,Hub,Marseille,9735.97,13153.52,8521.59
2020-05-12,66.72,25.41,64.56,93.82,Moderate,None,Early-5G,0.6,Hub,Marseille,24913.64,29248.07,12753.58
2020-05-13,70.5,24.96,64.56,93.76,Moderate,,Early-5G,-0.35,Good,Marseille,54049.9,23015.95,13706.93
2020-05-14,74.28,24.5,64.56,93.71,Moderate,None,Early-5G,0.03,Hub,Marseille,59556.63,22422.55,15853.29
2020-05-15,78.05,24.04,64.56,93.65,Good,None,Early-5G,0.01,Hub,Marseille,54268.2,30237.14,17691.26
2020-05-16,81.82,23.57,64.57,93.59,Moderate,None,Early-5G,-0.42,Hub,Marseille,63901.3,29758.06,19924.4
2020-05-17,85.58,23.1,64.57,,Good,None,Early-5G,0.33,Limited,Marseille,44428.57,32658.44,
2020-05-18,89.34,22.63,64.57,93.47,Moderate,None,Early-5G,-1.17,Poor,Marseille,20981.18,31842.79,13767.8
2020-05-19,89.25,22.17,64.57,93.4,Moderate,None,Early-5G,-0.22,Hub,Marseille,26319.52,29000.56,13584.67
2020-05-20,89.16,21.71,64.58,93.34,Moderate,None,Early-5G,0.51,Good,Marseille,62999.61,33019.14,15614.12
2020-05-21,89.07,21.25,64.58,93.28,Good,None,Early-5G,0.16,Limited,Marseille,62146.17,30026.32,18463.58
2020-05-22,88.98,20.81,64.58,93.21,Moderate,None,Early-5G,0.01,Good,Marseille,70848.94,29737.13,15998.47
2020-05-23,88.88,20.38,64.58,93.14,Moderate,None,Early-5G,0.63,Poor,Marseille,67623.49,37633.71,16700.05
2020-05-24,88.79,19.97,64.58,93.08,Good,None,Early-5G,0.03,Limited,Marseille,72893.26,32405.02,20227.85
2020-05-25,88.69,19.57,64.59,93.01,Good,None,Early-5G,-0.3,Limited,Marseille,55349.68,24954.79,14124.68
2020-05-26,88.59,19.19,64.59,92.94,Good,None,Early-5G,-0.8,Hub,Marseille,43132.16,26522.62,14699.12
2020-05-27,88.49,18.83,64.59,92.87,Moderate,None,Early-5G,0.02,Hub,Marseille,52373.57,24736.2,15348.25
2020-05-28,88.39,18.5,64.59,92.8,Moderate,None,Early-5G,0.87,Hub,Marseille,56297.88,25326.98,13377.45
2020-05-29,88.28,18.18,64.59,92.73,Good,None,Early-5G,-0.08,Limited,Marseille,56187.21,28997.15,15188.89
2020-05-30,88.18,17.89,64.6,92.65,Good,None,Early-5G,-0.65,Hub,Marseille,70997.05,,20800.65
2020-05-31,88.07,17.63,64.6,92.58,Moderate,None,Early-5G,0.25,Hub,Marseille,,30011.85,19103.21
2020-06-01,87.96,17.39,64.6,92.51,Moderate,None,Early-5G,0.49,Hub,Marseille,57907.73,25525.89,15122.57
2020-06-02,87.86,17.19,64.6,92.43,Good,None,Early-5G,-0.01,Limited,Marseille,62478.41,30281.55,16879.31
2020-06-03,87.75,17.01,64.61,92.36,Good,None,Early-5G,0.35,Poor,Marseille,68351.57,31667.14,16718.66
2020-06-04,87.63,16.87,64.61,92.28,Good,None,Early-5G,-0.39,Hub,Marseille,67838.81,38130.4,16532.72
2020-06-05,87.52,16.75,64.61,92.2,Moderate,None,Early-5G,0.47,Hub,Marseille,62202.08,25964.08,17410.69
2020-06-06,87.41,16.67,64.61,92.13,Good,None,Early-5G,0.4,Hub,Marseille,86447.21,40220.55,18300.98
2020-06-07,87.29,16.62,64.61,92.05,Good,None,Early-5G,0.67,Hub,Marseille,73375.35,36872.76,21191.86
2020-06-08,87.18,16.61,64.62,91.97,Good,None,Early-5G,0.54,Hub,Marseille,59541.65,31408.3,16503.28
2020-06-09,87.06,16.62,64.62,91.89,Good,None,Early-5G,-0.3,Good,Marseille,51312.44,28469.9,14774.69
2020-06-10,86.94,16.67,64.62,91.81,Good,None,Early-5G,0.74,Poor,Marseille,54184.08,33273.18,15958.25
2020-06-11,86.82,16.75,64.62,91.73,Moderate,None,Early-5G,0.46,Hub,Marseille,58372.67,29323.18,17356.59
2020-06-12,86.7,16.87,64.63,91.65,Good,None,Early-5G,0.73,Hub,Marseille,55821.39,34662.73,15831.71
2020-06-13,86.58,17.01,64.63,91.57,Moderate,None,Early-5G,,Hub,Marseille,69585.11,28038.67,18219.94
2020-06-14,86.46,17.19,64.63,91.48,Good,None,Early-5G,-0.61,Good,Marseille,64151.13,,20490.61
2020-06-15,86.34,17.39,64.63,91.4,Moderate,None,Early-5G,0.72,Hub,Marseille,51999.22,15282.92,13074.0
2020-06-16,86.21,17.63,64.63,91.32,Good,None,Early-5G,0.52,Limited,Marseille,55773.08,21359.58,15581.46
2020-06-17,86.09,17.89,64.64,91.24,Good,None,Early-5G,-0.29,Hub,Marseille,50653.69,29068.21,15508.09
2020-06-18,85.97,18.18,64.64,91.15,Good,None,Early-5G,0.57,,Marseille,59188.46,24197.96,13122.85
2020-06-19,85.84,18.5,64.64,91.07,Good,None,Early-5G,0.31,Poor,Marseille,60766.62,28203.16,15256.88
2020-06-20,85.71,18.83,64.64,90.98,Good,None,Early-5G,-0.04,Hub,Marseille,67752.44,40784.19,20015.35
2020-06-21,85.59,,64.65,90.9,Good,None,Early-5G,0.26,Hub,Marseille,57523.04,40361.85,18170.37
2020-06-22,85.46,19.57,64.65,90.81,Good,None,Early-5G,-0.05,Hub,Marseille,39308.71,20599.66,13423.53
2020-06-23,85.33,19.97,64.65,90.73,Good,None,Early-5G,-0.37,Good,Marseille,45106.14,15274.45,14776.28
2020-06-24,85.2,20.38,64.65,90.64,Good,None,Early-5G,-0.03,Hub,Marseille,58665.25,20312.77,13761.89
2020-06-25,85.08,,64.65,90.56,Moderate,None,Early-5G,0.47,Hub,Marseille,48543.51,19788.5,14868.33
2020-06-26,84.95,21.25,64.66,90.47,Moderate,None,Early-5G,-0.39,Hub,Marseille,47272.47,27584.9,14445.16
2020-06-27,84.82,21.71,64.66,90.39,Good,None,Early-5G,0.98,Good,Marseille,62596.51,29931.91,15910.68
2020-06-28,84.69,22.17,64.66,90.3,Good,None,Early-5G,0.56,Hub,Marseille,65680.69,,17018.74
2020-06-29,84.56,22.63,64.66,90.22,Good,None,Early-5G,-0.1,Good,Marseille,43493.7,20388.13,10354.13
2020-06-30,84.43,23.1,64.67,90.13,Good,,Early-5G,1.0,Limited,Marseille,34892.3,19837.31,10532.03
2020-07-01,84.3,23.57,64.82,90.04,Good,None,Early-5G,-0.17,Limited,Marseille,51696.53,29469.7,16291.03
2020-07-02,84.17,24.04,64.97,89.96,Good,None,Early-5G,0.13,Hub,Marseille,115732.13,28342.94,12404.02
2020-07-03,84.04,24.5,65.12,89.87,Moderate,None,Early-5G,-0.65,Hub,Marseille,109536.82,24293.97,15192.39
2020-07-04,83.91,24.96,65.27,89.78,Good,None,Early-5G,0.92,Poor,Marseille,145386.23,30649.05,14904.3
2020-07-05,83.78,25.41,65.43,89.7,Good,None,Early-5G,0.31,Hub,Marseille,81392.03,32231.95,19030.1
2020-07-06,83.64,25.85,65.58,89.61,Good,None,Early-5G,0.31,Poor,Marseille,46740.5,21077.31,13020.2
2020-07-07,83.51,26.28,65.73,89.53,Good,None,Early-5G,-0.33,Hub,Marseille,44929.66,20343.34,13465.57
2020-07-08,83.38,26.7,65.88,89.44,Moderate,,Early-5G,0.7,Hub,Marseille,52056.09,27140.58,10869.21
2020-07-09,83.25,27.09,66.03,89.36,Moderate,None,Early-5G,0.44,Good,Marseille,53999.19,22063.44,12854.63
2020-07-10,83.12,27.47,66.19,89.27,Moderate,None,Early-5G,0.33,Hub,Marseille,58506.34,25922.45,15321.34
2020-07-11,82.99,27.83,66.34,89.19,Moderate,None,Early-5G,0.61,Hub,Marseille,65243.09,30417.5,
2020-07-12,82.86,28.17,66.49,89.1,Good,None,Early-5G,0.11,Good,Marseille,55048.71,31082.25,17824.11
2020-07-13,82.73,28.49,66.64,89.02,Good,None,Early-5G,0.93,Limited,Marseille,40652.37,21505.55,10563.68
2020-07-14,82.61,28.77,66.8,88.93,Good,None,Early-5G,-0.8,Hub,Marseille,46221.92,19443.18,10457.22
2020-07-15,82.48,29.04,66.95,88.85,Good,None,,0.5,Hub,Marseille,48178.32,21095.9,14308.78
2020-07-16,82.35,29.27,67.1,88.76,Good,None,Early-5G,0.39,Hub,Marseille,38033.47,20551.22,10086.59
2020-07-17,82.22,29.48,67.25,88.68,Good,None,Early-5G,-0.29,Hub,Marseille,58918.77,23142.86,14142.4
2020-07-18,82.09,29.65,67.4,88.6,Good,None,Early-5G,0.74,Hub,Marseille,57383.72,26151.33,15976.21
2020-07-19,81.97,29.8,67.56,88.52,Good,None,Early-5G,1.14,Good,Marseille,63044.81,31638.24,16277.93
2020-07-20,81.84,29.91,67.71,88.43,Good,None,Early-5G,0.32,Hub,Marseille,48499.27,16532.65,10329.31
2020-07-21,81.72,29.99,67.86,88.35,Good,None,Early-5G,-0.33,Hub,Marseille,46124.91,7957.09,10988.27
2020-07-22,81.59,30.04,68.01,88.27,Good,None,Early-5G,0.19,Good,Marseille,45026.33,,9463.39
2020-07-23,81.47,30.06,68.17,88.19,Moderate,None,Early-5G,-0.5,Hub,Marseille,42326.61,11300.08,10859.41
2020-07-24,81.34,30.04,68.32,88.11,Moderate,None,Early-5G,0.35,Hub,Marseille,39988.64,10285.74,13338.73
2020-07-25,81.22,29.99,68.47,88.03,Moderate,None,Early-5G,0.64,Hub,Marseille,62465.25,25988.54,
2020-07-26,81.1,29.91,68.62,87.95,Good,None,Early-5G,-1.53,Limited,Marseille,,21098.56,14339.67
2020-07-27,80.98,29.8,68.77,,Moderate,None,Early-5G,0.26,Hub,Marseille,,15040.98,8583.67
2020-07-28,80.86,29.65,68.93,87.8,Moderate,None,Early-5G,0.65,Limited,Marseille,36634.92,14218.04,8476.44
2020-07-29,80.74,29.48,69.08,87.72,Good,None,Early-5G,-0.48,Hub,Marseille,,18256.03,11024.91
2020-07-30,80.62,29.27,69.23,87.64,Good,None,Early-5G,0.13,Poor,Marseille,39055.52,22073.7,10830.33
2020-07-31,80.5,29.04,69.23,87.57,Good,None,Early-5G,0.85,Poor,Marseille,48365.43,23567.96,7865.08
2020-08-01,80.39,28.77,69.24,87.49,Good,None,Early-5G,0.86,Hub,Marseille,47133.06,,14175.14
